Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EngagementSurvey,EmpSatisfaction,DaysLateLast30,Absences,BurnRate,MentalFatigueScore,WFHAvailable,ResourceAllocation,SalaryPerLevel,PromotionStagnation,TotalSatisfaction,BurnoutPressureIndex,CareerVelocity,ManagerStability
41,1,2,1102,2,1,2,1,2,0,94,3,2,7,4,2,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,4.28,4.0,0.0,14.0,0.42,5.6,1.0,4.0,1997.6666666666667,0.0,2.0,1.1199999999999999,0.047619047619047616,0.7142857142857143
49,0,1,279,1,8,1,1,3,1,61,2,2,6,2,1,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1710.0,0.09090909090909091,3.0,1.2000000000000002,0.04,0.6363636363636364
37,1,2,1373,1,2,2,4,4,1,92,2,1,2,3,2,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1045.0,0.0,3.0,1.4333333333333331,0.02631578947368421,0.0
33,0,1,1392,1,3,4,1,4,0,56,3,1,6,3,1,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,4.225,4.0,0.0,10.5,0.27,4.2,1.0,2.0,1454.5,0.3333333333333333,3.25,1.4,0.029411764705882353,0.0
27,0,2,591,1,2,1,3,1,1,40,3,1,2,2,1,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1734.0,0.6666666666666666,2.5,1.4333333333333331,0.03571428571428571,0.6666666666666666
32,0,1,1005,1,2,2,1,4,1,79,3,1,2,4,2,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1534.0,0.375,3.25,1.4333333333333331,0.030303030303030304,0.75
59,0,2,1324,1,3,3,3,3,0,81,4,1,2,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,4.225,4.0,0.0,10.5,0.27,4.2,1.0,2.0,1335.0,0.0,1.75,1.4,0.016666666666666666,0.0
30,0,2,1358,1,24,1,1,4,1,67,3,1,2,3,0,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1346.5,0.0,3.0,1.4333333333333331,0.03225806451612903,0.0
38,0,1,216,1,23,3,1,4,1,44,2,3,4,3,2,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,4.3,4.0,0.0,10.0,0.56,6.8,0.0,6.0,2381.5,0.1,3.0,0.9714285714285713,0.07692307692307693,0.8
36,0,2,1299,1,27,3,3,3,1,94,3,2,0,3,1,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1745.6666666666667,0.875,2.5,1.2000000000000002,0.05405405405405406,0.875
